covariate 1:   type=float, missing=  4 of 100, average=-0.100717, stdev=1.016040, range=[-2.471977,2.727259], active=1
covariate 44:  type=float, missing=  3 of 100, average=0.006328, stdev=1.060436, range=[-2.558274,2.467481], active=1
covariate 45:  type=float, missing=  4 of 100, average=-0.019111, stdev=1.067384, range=[-2.639688,2.313005], active=1
covariate 46:  type=float, missing=  6 of 100, average=-0.020645, stdev=0.973325, range=[-2.270310,2.484158], active=1
covariate 47:  type=float, missing=  5 of 100, average=0.073253, stdev=0.944658, range=[-2.509613,2.383508], active=1
covariate 48:  type=float, missing=  3 of 100, average=0.215265, stdev=1.059056, range=[-3.020108,3.404337], active=1
covariate 49:  type=float, missing=  7 of 100, average=0.025877, stdev=0.844668, range=[-2.310216,2.352644], active=1
covariate 50:  type=float, missing=  9 of 100, average=0.146420, stdev=1.131590, range=[-2.508885,2.911552], active=1
covariate 51:  type=float, missing=  7 of 100, average=0.030429, stdev=0.839990, range=[-2.212734,2.344862], active=1
covariate 52:  type=float, missing=  4 of 100, average=-0.006589, stdev=1.031086, range=[-3.077623,3.035543], active=1
covariate 53:  type=float, missing=  6 of 100, average=-0.198115, stdev=1.172789, range=[-3.723740,2.802487], active=1
covariate 54:  type=float, missing=  3 of 100, average=-0.055749, stdev=0.937824, range=[-2.269440,2.471308], active=1
covariate 55:  type=float, missing=  4 of 100, average=0.019645, stdev=0.903134, range=[-2.244185,1.940181], active=1
covariate 56:  type=float, missing=  6 of 100, average=-0.125225, stdev=1.047120, range=[-2.727402,2.925682], active=1
covariate 57:  type=float, missing=  1 of 100, average=-0.142523, stdev=1.001700, range=[-2.477338,2.252915], active=1
covariate 58:  type=float, missing=  2 of 100, average=-0.032639, stdev=1.078793, range=[-2.760651,2.565714], active=1
covariate 59:  type=float, missing=  4 of 100, average=-0.179953, stdev=0.989730, range=[-2.333035,2.472233], active=1
covariate 60:  type=float, missing=  6 of 100, average=0.130652, stdev=1.015531, range=[-3.452187,3.541369], active=1
