covariate 1:   type=float, missing=  7 of 100, average=0.172612, stdev=1.015973, range=[-2.179622,3.836157], active=1
covariate 44:  type=float, missing=  7 of 100, average=0.072858, stdev=0.965469, range=[-3.056451,2.280087], active=1
covariate 45:  type=float, missing=  6 of 100, average=0.014679, stdev=0.957875, range=[-2.484542,2.654844], active=1
covariate 46:  type=float, missing=  5 of 100, average=-0.019281, stdev=1.153588, range=[-2.606665,2.426917], active=1
covariate 47:  type=float, missing=  7 of 100, average=-0.009949, stdev=0.972267, range=[-2.417713,2.059030], active=1
covariate 48:  type=float, missing=  3 of 100, average=0.076335, stdev=1.020608, range=[-3.199175,2.985891], active=1
covariate 49:  type=float, missing=  2 of 100, average=-0.060227, stdev=1.054008, range=[-2.357780,3.153361], active=1
covariate 50:  type=float, missing=  5 of 100, average=-0.145279, stdev=1.032382, range=[-2.669457,2.121120], active=1
covariate 51:  type=float, missing=  4 of 100, average=-0.010134, stdev=0.931205, range=[-2.246001,2.229089], active=1
covariate 52:  type=float, missing=  6 of 100, average=0.026095, stdev=1.060048, range=[-2.734977,3.000939], active=1
covariate 53:  type=float, missing=  9 of 100, average=0.083502, stdev=0.941519, range=[-1.777466,2.023444], active=1
covariate 54:  type=float, missing=  6 of 100, average=0.064933, stdev=1.028255, range=[-1.715935,3.141566], active=1
covariate 55:  type=float, missing=  6 of 100, average=-0.016800, stdev=1.039835, range=[-2.578139,2.419507], active=1
covariate 56:  type=float, missing=  4 of 100, average=-0.095623, stdev=0.808382, range=[-2.478510,1.767440], active=1
covariate 57:  type=float, missing=  4 of 100, average=-0.095123, stdev=0.887595, range=[-2.098112,2.241558], active=1
covariate 58:  type=float, missing=  2 of 100, average=0.086237, stdev=0.912252, range=[-2.295841,2.207794], active=1
covariate 59:  type=float, missing=  3 of 100, average=-0.121697, stdev=1.024622, range=[-3.132089,1.841913], active=1
covariate 60:  type=float, missing=  5 of 100, average=0.008844, stdev=1.017884, range=[-2.611285,2.677679], active=1
