covariate 1:   name=covariate1, type=float, missing= 37 of 100, average=0.062002, stdev=0.983296, range=[-1.882317,2.579115], active=1
covariate 38:  name=covariate38, type=float, missing= 39 of 100, average=-0.326681, stdev=0.926745, range=[-3.770365,1.415196], active=1
covariate 39:  name=covariate39, type=float, missing= 35 of 100, average=-0.050052, stdev=1.034439, range=[-2.215146,2.175746], active=1
covariate 40:  name=covariate40, type=float, missing= 42 of 100, average=-0.166172, stdev=0.943916, range=[-2.058665,1.427681], active=1
covariate 41:  name=covariate41, type=float, missing= 31 of 100, average=-0.199619, stdev=0.987530, range=[-3.383023,2.007847], active=1
covariate 42:  name=covariate42, type=float, missing= 39 of 100, average=0.190510, stdev=0.931719, range=[-1.785987,1.891109], active=1
covariate 43:  name=covariate43, type=float, missing= 30 of 100, average=0.084225, stdev=1.033482, range=[-1.978410,2.616635], active=1
covariate 44:  name=covariate44, type=float, missing= 32 of 100, average=0.113063, stdev=0.836074, range=[-1.912152,1.557550], active=1
covariate 45:  name=covariate45, type=float, missing= 50 of 100, average=0.103931, stdev=0.905946, range=[-1.877687,1.990966], active=1
covariate 46:  name=covariate46, type=float, missing= 39 of 100, average=-0.096860, stdev=1.112763, range=[-2.799506,2.033350], active=1
covariate 47:  name=covariate47, type=float, missing= 36 of 100, average=-0.026525, stdev=0.999424, range=[-3.349809,2.178728], active=1
covariate 48:  name=covariate48, type=float, missing= 41 of 100, average=0.062398, stdev=0.867656, range=[-1.573198,2.605166], active=1
covariate 49:  name=covariate49, type=float, missing= 44 of 100, average=0.178647, stdev=0.973696, range=[-2.207549,2.221436], active=1
covariate 50:  name=covariate50, type=float, missing= 47 of 100, average=-0.047904, stdev=0.789797, range=[-1.641131,1.527470], active=1
covariate 51:  name=covariate51, type=float, missing= 52 of 100, average=0.257676, stdev=1.002239, range=[-2.436469,3.138839], active=1
covariate 52:  name=covariate52, type=float, missing= 47 of 100, average=-0.192335, stdev=1.025400, range=[-2.136276,1.724761], active=1
covariate 53:  name=covariate53, type=float, missing= 38 of 100, average=0.072772, stdev=1.116385, range=[-2.589691,2.813606], active=1
covariate 54:  name=covariate54, type=float, missing= 39 of 100, average=0.220109, stdev=0.975071, range=[-1.545859,2.313937], active=1
covariate 55:  name=covariate55, type=float, missing= 43 of 100, average=0.074753, stdev=0.876582, range=[-2.069701,2.290328], active=1
covariate 56:  name=covariate56, type=float, missing= 38 of 100, average=0.053926, stdev=0.900140, range=[-1.719877,2.092281], active=1
covariate 57:  name=covariate57, type=float, missing= 27 of 100, average=-0.034315, stdev=1.083414, range=[-2.885198,2.769314], active=1
covariate 58:  name=covariate58, type=float, missing= 41 of 100, average=0.062656, stdev=1.071063, range=[-3.055494,2.311692], active=1
covariate 59:  name=covariate59, type=float, missing= 38 of 100, average=0.170264, stdev=0.828066, range=[-2.144553,2.123912], active=1
covariate 60:  name=covariate60, type=float, missing= 34 of 100, average=0.042630, stdev=0.941792, range=[-2.120756,1.921902], active=1
covariate 61:  name=covariate61, type=float, missing= 42 of 100, average=-0.020213, stdev=0.897809, range=[-1.872503,2.109003], active=1
covariate 62:  name=covariate62, type=float, missing= 45 of 100, average=-0.120212, stdev=1.201707, range=[-3.001034,2.758797], active=1
covariate 63:  name=covariate63, type=float, missing= 44 of 100, average=0.127941, stdev=0.948014, range=[-1.879811,2.551903], active=1
covariate 64:  name=covariate64, type=float, missing= 32 of 100, average=-0.093019, stdev=0.968259, range=[-2.182568,2.430783], active=1
covariate 65:  name=covariate65, type=float, missing= 33 of 100, average=0.095804, stdev=0.940436, range=[-1.900469,2.016135], active=1
covariate 66:  name=covariate66, type=float, missing= 46 of 100, average=-0.081856, stdev=0.983241, range=[-1.978414,1.877515], active=1
covariate 67:  name=covariate67, type=float, missing= 46 of 100, average=-0.004195, stdev=0.896083, range=[-1.922685,1.922033], active=1
covariate 68:  name=covariate68, type=float, missing= 37 of 100, average=0.000146, stdev=1.070903, range=[-2.478708,2.521811], active=1
covariate 69:  name=covariate69, type=float, missing= 44 of 100, average=-0.258031, stdev=0.990981, range=[-3.518727,2.129840], active=1
covariate 70:  name=covariate70, type=float, missing= 41 of 100, average=-0.140844, stdev=0.911407, range=[-2.194090,1.571910], active=1
covariate 71:  name=covariate71, type=float, missing= 39 of 100, average=-0.081356, stdev=0.807925, range=[-1.720978,2.158791], active=1
covariate 72:  name=covariate72, type=float, missing= 44 of 100, average=-0.131035, stdev=0.983480, range=[-2.302059,2.563197], active=1
covariate 73:  name=covariate73, type=float, missing= 38 of 100, average=-0.116163, stdev=0.905208, range=[-2.103822,2.235306], active=1
covariate 74:  name=covariate74, type=float, missing= 29 of 100, average=0.053985, stdev=0.974551, range=[-1.715636,3.161397], active=1
covariate 75:  name=covariate75, type=float, missing= 32 of 100, average=0.140650, stdev=0.985896, range=[-1.681601,2.596872], active=1
covariate 76:  name=covariate76, type=float, missing= 46 of 100, average=-0.082660, stdev=0.967094, range=[-2.111476,2.616039], active=1
covariate 77:  name=covariate77, type=float, missing= 41 of 100, average=-0.072360, stdev=0.888013, range=[-1.980085,2.301764], active=1
covariate 78:  name=covariate78, type=float, missing= 39 of 100, average=0.034316, stdev=0.993637, range=[-2.387914,2.033048], active=1
covariate 79:  name=covariate79, type=float, missing= 38 of 100, average=-0.113251, stdev=1.123066, range=[-2.811072,2.232161], active=1
covariate 80:  name=covariate80, type=float, missing= 39 of 100, average=0.146943, stdev=1.003430, range=[-3.350032,2.363042], active=1
covariate 81:  name=covariate81, type=float, missing= 33 of 100, average=0.102786, stdev=0.982305, range=[-1.952942,2.338448], active=1
covariate 82:  name=covariate82, type=float, missing= 40 of 100, average=0.056803, stdev=0.989572, range=[-1.780414,2.226823], active=1
covariate 83:  name=covariate83, type=float, missing= 46 of 100, average=0.151308, stdev=0.941812, range=[-2.513432,2.464243], active=1
covariate 84:  name=covariate84, type=float, missing= 43 of 100, average=-0.041732, stdev=1.026945, range=[-2.286688,2.677532], active=1
covariate 85:  name=covariate85, type=float, missing= 37 of 100, average=-0.183019, stdev=0.950507, range=[-2.306294,1.712198], active=1
covariate 86:  name=covariate86, type=float, missing= 21 of 100, average=-0.091365, stdev=0.878121, range=[-2.635805,2.059883], active=1
covariate 87:  name=covariate87, type=float, missing= 32 of 100, average=-0.039595, stdev=1.008791, range=[-2.465931,2.082740], active=1
covariate 88:  name=covariate88, type=float, missing= 43 of 100, average=-0.063322, stdev=0.968496, range=[-2.918055,2.045109], active=1
covariate 89:  name=covariate89, type=float, missing= 41 of 100, average=-0.082541, stdev=1.100462, range=[-2.970096,2.318925], active=1
covariate 90:  name=covariate90, type=float, missing= 38 of 100, average=-0.096838, stdev=0.774584, range=[-1.729842,1.936931], active=1
covariate 91:  name=covariate91, type=float, missing= 51 of 100, average=-0.048248, stdev=1.185465, range=[-2.714149,2.392710], active=1
covariate 92:  name=covariate92, type=float, missing= 40 of 100, average=0.086843, stdev=1.101491, range=[-2.037790,2.310583], active=1
covariate 93:  name=covariate93, type=float, missing= 33 of 100, average=-0.032143, stdev=0.981619, range=[-1.832780,3.034100], active=1
covariate 94:  name=covariate94, type=float, missing= 43 of 100, average=0.069759, stdev=1.120152, range=[-2.575296,3.151553], active=1
covariate 95:  name=covariate95, type=float, missing= 33 of 100, average=0.195007, stdev=1.092979, range=[-2.368445,2.996462], active=1
covariate 96:  name=covariate96, type=float, missing= 42 of 100, average=-0.211524, stdev=1.061574, range=[-2.636304,1.565229], active=1
covariate 97:  name=covariate97, type=float, missing= 43 of 100, average=-0.086419, stdev=1.086825, range=[-2.507845,2.137151], active=1
covariate 98:  name=covariate98, type=float, missing= 45 of 100, average=-0.051858, stdev=1.246426, range=[-2.396008,3.475354], active=1
covariate 99:  name=covariate99, type=float, missing= 34 of 100, average=-0.170975, stdev=1.072257, range=[-2.855259,2.121099], active=1
covariate 100: name=covariate100, type=float, missing= 40 of 100, average=-0.122495, stdev=1.057479, range=[-4.700026,1.988662], active=1
