covariate 1:   type=float, missing=  5 of  50, average=-0.106280, stdev=0.816228, range=[-1.600923,1.873543], active=1
covariate 32:  type=float, missing=  2 of  50, average=0.037682, stdev=0.786778, range=[-1.442313,1.507052], active=1
covariate 33:  type=float, missing=  3 of  50, average=0.003854, stdev=0.955457, range=[-1.957077,2.448181], active=1
covariate 34:  type=float, missing=  1 of  50, average=0.087445, stdev=1.041163, range=[-2.383015,2.293405], active=1
covariate 35:  type=float, missing=  4 of  50, average=-0.124720, stdev=0.978247, range=[-2.835467,1.849311], active=1
covariate 36:  type=float, missing=  3 of  50, average=0.030345, stdev=0.823985, range=[-1.740639,2.239965], active=1
covariate 37:  type=float, missing=  1 of  50, average=0.160755, stdev=0.882279, range=[-2.129777,2.239303], active=1
covariate 38:  type=float, missing=  0 of  50, average=0.126127, stdev=1.255471, range=[-2.568475,3.364326], active=1
covariate 39:  type=float, missing=  1 of  50, average=0.010232, stdev=1.186150, range=[-2.603928,2.576400], active=1
covariate 40:  type=float, missing=  2 of  50, average=0.010953, stdev=1.180603, range=[-2.321195,2.192992], active=1
covariate 41:  type=float, missing=  4 of  50, average=-0.136906, stdev=0.924746, range=[-2.530088,2.160018], active=1
covariate 42:  type=float, missing=  4 of  50, average=0.059318, stdev=1.157454, range=[-2.345612,2.612086], active=1
covariate 43:  type=float, missing=  1 of  50, average=0.059419, stdev=1.078451, range=[-2.048769,2.299284], active=1
covariate 44:  type=float, missing=  1 of  50, average=-0.015902, stdev=0.958900, range=[-1.786415,2.529936], active=1
covariate 45:  type=float, missing=  0 of  50, average=0.027062, stdev=0.825790, range=[-1.597005,2.212286], active=1
covariate 46:  type=float, missing=  7 of  50, average=0.043522, stdev=0.839094, range=[-1.782943,1.511728], active=1
covariate 47:  type=float, missing=  4 of  50, average=0.116406, stdev=0.898331, range=[-1.508867,1.941882], active=1
covariate 48:  type=float, missing=  2 of  50, average=-0.147847, stdev=1.100708, range=[-2.772399,2.343414], active=1
covariate 49:  type=float, missing=  1 of  50, average=-0.031502, stdev=1.121763, range=[-2.555482,3.206922], active=1
covariate 50:  type=float, missing=  1 of  50, average=-0.110255, stdev=1.098962, range=[-1.762982,2.261214], active=1
covariate 51:  type=float, missing=  3 of  50, average=-0.134792, stdev=0.999815, range=[-2.363938,1.960619], active=1
covariate 52:  type=float, missing=  3 of  50, average=0.068917, stdev=1.294585, range=[-2.751113,3.278619], active=1
covariate 53:  type=float, missing=  2 of  50, average=-0.033311, stdev=1.097086, range=[-2.377604,2.359281], active=1
covariate 54:  type=float, missing=  3 of  50, average=-0.035815, stdev=1.067031, range=[-2.555306,1.949425], active=1
covariate 55:  type=float, missing=  1 of  50, average=-0.247133, stdev=1.125258, range=[-2.925150,2.210902], active=1
covariate 56:  type=float, missing=  3 of  50, average=-0.041110, stdev=0.837813, range=[-1.548285,1.488918], active=1
covariate 57:  type=float, missing=  3 of  50, average=0.218912, stdev=0.998833, range=[-2.061563,2.648098], active=1
covariate 58:  type=float, missing=  5 of  50, average=-0.000077, stdev=1.025207, range=[-3.091305,2.060779], active=1
covariate 59:  type=float, missing=  3 of  50, average=-0.188709, stdev=1.076137, range=[-3.595831,1.876923], active=1
covariate 60:  type=float, missing=  2 of  50, average=0.004923, stdev=1.035713, range=[-2.176766,2.516030], active=1
