covariate 1:   type=float, missing=  0 of  50, average=0.208791, stdev=0.922088, range=[-2.300677,2.280683], active=1
covariate 70:  type=float, missing=  0 of  50, average=0.245874, stdev=1.126392, range=[-2.597497,2.870242], active=1
covariate 71:  type=float, missing=  0 of  50, average=0.066141, stdev=0.880729, range=[-1.894182,1.753983], active=1
covariate 72:  type=float, missing=  0 of  50, average=0.108745, stdev=0.809267, range=[-1.642650,2.247816], active=1
covariate 73:  type=float, missing=  0 of  50, average=0.184617, stdev=1.046434, range=[-1.855008,3.817546], active=1
covariate 74:  type=float, missing=  0 of  50, average=0.017427, stdev=1.067514, range=[-2.477419,2.113982], active=1
covariate 75:  type=float, missing=  0 of  50, average=-0.049164, stdev=1.033873, range=[-3.097700,1.822728], active=1
covariate 76:  type=float, missing=  0 of  50, average=-0.163867, stdev=0.938752, range=[-2.399993,1.710427], active=1
covariate 77:  type=float, missing=  0 of  50, average=0.100023, stdev=1.093775, range=[-2.627095,2.090089], active=1
covariate 78:  type=float, missing=  0 of  50, average=-0.054380, stdev=1.181494, range=[-2.878374,2.457818], active=1
covariate 79:  type=float, missing=  0 of  50, average=-0.057673, stdev=0.956404, range=[-2.119204,1.853699], active=1
covariate 80:  type=float, missing=  0 of  50, average=-0.249407, stdev=1.160119, range=[-4.285723,1.903122], active=1
