covariate 1:   type=float, missing=  6 of 100, average=0.046005, stdev=0.980995, range=[-2.064067,3.220006], active=1
covariate 75:  type=float, missing=  8 of 100, average=-0.115904, stdev=1.030115, range=[-3.120977,2.448025], active=1
covariate 76:  type=float, missing=  3 of 100, average=0.006591, stdev=0.913988, range=[-2.677415,2.273830], active=1
covariate 77:  type=float, missing=  3 of 100, average=0.074384, stdev=1.075963, range=[-2.387194,2.733636], active=1
covariate 78:  type=float, missing=  6 of 100, average=0.039251, stdev=0.946683, range=[-2.936860,3.343872], active=1
covariate 79:  type=float, missing=  4 of 100, average=-0.111619, stdev=0.940076, range=[-2.303330,1.696593], active=1
covariate 80:  type=float, missing=  5 of 100, average=0.094301, stdev=0.982466, range=[-2.292000,2.700141], active=1
covariate 81:  type=float, missing=  5 of 100, average=-0.093597, stdev=0.933788, range=[-2.304737,1.865421], active=1
covariate 82:  type=float, missing=  3 of 100, average=-0.027644, stdev=0.927447, range=[-1.808437,2.759954], active=1
covariate 83:  type=float, missing=  6 of 100, average=-0.115672, stdev=1.014387, range=[-2.456319,2.531349], active=1
covariate 84:  type=float, missing=  1 of 100, average=0.119199, stdev=0.950113, range=[-2.317158,2.314974], active=1
covariate 85:  type=float, missing=  7 of 100, average=0.080354, stdev=0.935918, range=[-2.057644,2.033402], active=1
covariate 86:  type=float, missing=  7 of 100, average=0.044478, stdev=0.967680, range=[-2.452687,2.437069], active=1
covariate 87:  type=float, missing=  3 of 100, average=0.079054, stdev=1.119677, range=[-2.812877,2.697195], active=1
covariate 88:  type=float, missing=  2 of 100, average=0.026569, stdev=1.123871, range=[-2.865245,2.384779], active=1
covariate 89:  type=float, missing=  5 of 100, average=0.124685, stdev=1.115550, range=[-3.862692,3.174171], active=1
covariate 90:  type=float, missing=  7 of 100, average=0.052683, stdev=0.970152, range=[-2.431590,3.045827], active=1
covariate 91:  type=float, missing=  5 of 100, average=0.086597, stdev=1.076851, range=[-2.495785,3.167551], active=1
covariate 92:  type=float, missing=  7 of 100, average=-0.099363, stdev=0.984831, range=[-2.306254,2.955210], active=1
covariate 93:  type=float, missing=  3 of 100, average=0.212171, stdev=0.945121, range=[-2.061713,2.304471], active=1
covariate 94:  type=float, missing=  1 of 100, average=0.265678, stdev=0.985412, range=[-2.022883,2.834129], active=1
covariate 95:  type=float, missing=  6 of 100, average=0.063648, stdev=0.869704, range=[-2.377696,2.035281], active=1
covariate 96:  type=float, missing=  3 of 100, average=-0.136142, stdev=1.001008, range=[-2.427340,2.792732], active=1
covariate 97:  type=float, missing=  9 of 100, average=-0.226161, stdev=0.971170, range=[-2.525615,2.571994], active=1
covariate 98:  type=float, missing=  6 of 100, average=0.027376, stdev=1.041242, range=[-4.282059,2.498891], active=1
covariate 99:  type=float, missing=  2 of 100, average=-0.151973, stdev=1.032543, range=[-3.328890,3.349098], active=1
covariate 100: type=float, missing=  7 of 100, average=0.002119, stdev=0.923495, range=[-2.828010,2.272700], active=1
