covariate 1:   type=float, missing=  7 of 100, average=-0.005508, stdev=1.019346, range=[-2.146636,3.123276], active=1
covariate 26:  type=float, missing=  8 of 100, average=0.002625, stdev=1.017073, range=[-2.242231,2.563014], active=1
covariate 27:  type=float, missing=  0 of 100, average=0.046577, stdev=0.995446, range=[-2.038443,2.399460], active=1
covariate 28:  type=float, missing=  7 of 100, average=-0.249749, stdev=1.117519, range=[-2.595791,4.079865], active=1
covariate 29:  type=float, missing=  5 of 100, average=0.070503, stdev=1.092482, range=[-2.618482,2.491726], active=1
covariate 30:  type=float, missing=  6 of 100, average=0.020311, stdev=0.895885, range=[-3.041048,1.700973], active=1
covariate 31:  type=float, missing=  4 of 100, average=-0.032132, stdev=1.082174, range=[-2.884381,2.552328], active=1
covariate 32:  type=float, missing=  9 of 100, average=-0.003701, stdev=1.005278, range=[-2.377701,2.289549], active=1
covariate 33:  type=float, missing=  2 of 100, average=0.120416, stdev=1.082751, range=[-2.427459,2.659671], active=1
covariate 34:  type=float, missing=  4 of 100, average=0.004582, stdev=1.100723, range=[-2.640017,3.116396], active=1
covariate 35:  type=float, missing=  8 of 100, average=-0.188643, stdev=0.870446, range=[-2.324417,2.259405], active=1
covariate 36:  type=float, missing=  5 of 100, average=0.128572, stdev=1.085629, range=[-2.367274,3.810374], active=1
covariate 37:  type=float, missing=  4 of 100, average=-0.018655, stdev=1.091302, range=[-3.907488,2.378205], active=1
covariate 38:  type=float, missing=  6 of 100, average=0.037345, stdev=0.874269, range=[-2.332501,1.894544], active=1
covariate 39:  type=float, missing=  3 of 100, average=-0.136952, stdev=1.054360, range=[-2.778833,2.532048], active=1
covariate 40:  type=float, missing=  4 of 100, average=-0.165918, stdev=1.097887, range=[-2.580130,2.381930], active=1
covariate 41:  type=float, missing=  3 of 100, average=-0.051074, stdev=0.891290, range=[-2.042001,2.450534], active=1
covariate 42:  type=float, missing=  4 of 100, average=-0.064291, stdev=1.077998, range=[-2.572671,2.513864], active=1
covariate 43:  type=float, missing=  5 of 100, average=0.088833, stdev=1.044447, range=[-3.124967,3.311323], active=1
covariate 44:  type=float, missing=  3 of 100, average=0.144352, stdev=1.048636, range=[-2.426863,2.283051], active=1
covariate 45:  type=float, missing=  3 of 100, average=0.036743, stdev=0.969646, range=[-2.787598,2.480172], active=1
covariate 46:  type=float, missing=  5 of 100, average=0.159454, stdev=0.996561, range=[-2.641162,2.205455], active=1
covariate 47:  type=float, missing=  4 of 100, average=0.146251, stdev=1.039048, range=[-2.228067,2.701840], active=1
covariate 48:  type=float, missing=  3 of 100, average=-0.062380, stdev=0.969764, range=[-2.260632,2.024835], active=1
covariate 49:  type=float, missing=  7 of 100, average=0.092559, stdev=0.881793, range=[-2.452299,2.036308], active=1
covariate 50:  type=float, missing=  4 of 100, average=-0.044344, stdev=1.066813, range=[-2.336420,2.716344], active=1
covariate 51:  type=float, missing=  6 of 100, average=-0.085324, stdev=1.048070, range=[-2.923979,2.455663], active=1
covariate 52:  type=float, missing=  4 of 100, average=0.145170, stdev=0.936186, range=[-1.887322,2.751177], active=1
covariate 53:  type=float, missing=  4 of 100, average=0.044347, stdev=0.967947, range=[-2.277469,2.853269], active=1
covariate 54:  type=float, missing=  5 of 100, average=0.034819, stdev=0.993653, range=[-2.860408,2.353492], active=1
covariate 55:  type=float, missing=  3 of 100, average=-0.033716, stdev=0.986158, range=[-2.152250,2.196000], active=1
covariate 56:  type=float, missing=  3 of 100, average=-0.271456, stdev=1.019860, range=[-2.609776,2.233843], active=1
covariate 57:  type=float, missing=  7 of 100, average=0.022538, stdev=1.075380, range=[-2.222762,2.582768], active=1
covariate 58:  type=float, missing=  6 of 100, average=-0.053345, stdev=1.189027, range=[-2.733510,2.935515], active=1
covariate 59:  type=float, missing=  8 of 100, average=-0.028859, stdev=1.069902, range=[-2.578620,2.946883], active=1
covariate 60:  type=float, missing=  4 of 100, average=0.001911, stdev=0.942117, range=[-2.807718,2.272871], active=1
covariate 61:  type=float, missing=  9 of 100, average=-0.050366, stdev=0.858908, range=[-2.129804,1.776729], active=1
covariate 62:  type=float, missing=  9 of 100, average=-0.046185, stdev=0.947756, range=[-1.931486,2.177781], active=1
covariate 63:  type=float, missing=  5 of 100, average=-0.033856, stdev=0.966020, range=[-2.644551,2.586785], active=1
covariate 64:  type=float, missing=  5 of 100, average=0.034524, stdev=0.986215, range=[-2.607863,2.577442], active=1
covariate 65:  type=float, missing=  8 of 100, average=0.081932, stdev=0.948912, range=[-2.636007,2.316239], active=1
covariate 66:  type=float, missing=  5 of 100, average=0.087631, stdev=1.117127, range=[-2.761650,2.560133], active=1
covariate 67:  type=float, missing=  5 of 100, average=-0.088092, stdev=0.916949, range=[-2.223238,2.313256], active=1
covariate 68:  type=float, missing=  3 of 100, average=-0.176408, stdev=1.136300, range=[-4.231915,2.777138], active=1
covariate 69:  type=float, missing=  6 of 100, average=-0.003395, stdev=1.013679, range=[-2.648869,2.434699], active=1
covariate 70:  type=float, missing=  4 of 100, average=0.065648, stdev=1.069798, range=[-2.691933,2.793716], active=1
covariate 71:  type=float, missing=  4 of 100, average=0.017589, stdev=0.928955, range=[-2.614195,2.705994], active=1
covariate 72:  type=float, missing=  5 of 100, average=-0.079837, stdev=1.107718, range=[-2.652484,2.496660], active=1
covariate 73:  type=float, missing=  5 of 100, average=0.049993, stdev=0.971932, range=[-2.088195,2.263026], active=1
covariate 74:  type=float, missing=  4 of 100, average=-0.027290, stdev=1.082021, range=[-2.476461,2.927575], active=1
covariate 75:  type=float, missing=  3 of 100, average=0.048422, stdev=1.003321, range=[-3.478252,3.130402], active=1
covariate 76:  type=float, missing=  3 of 100, average=0.081680, stdev=0.928104, range=[-2.270578,2.166735], active=1
covariate 77:  type=float, missing=  3 of 100, average=0.048901, stdev=1.017216, range=[-2.498078,2.937792], active=1
covariate 78:  type=float, missing=  4 of 100, average=-0.016285, stdev=1.085752, range=[-2.928889,2.987711], active=1
covariate 79:  type=float, missing=  8 of 100, average=-0.119670, stdev=0.980902, range=[-2.390190,2.163089], active=1
covariate 80:  type=float, missing=  7 of 100, average=0.110310, stdev=0.880275, range=[-2.382995,1.972101], active=1
