covariate 1:   name=covariate1, type=float, missing= 14 of 200, average=0.074347, stdev=1.025952, range=[-2.544921,2.926556], active=1
covariate 26:  name=covariate26, type=float, missing=  7 of 200, average=-0.076774, stdev=1.017350, range=[-3.033789,2.808107], active=1
covariate 27:  name=covariate27, type=float, missing= 14 of 200, average=-0.021856, stdev=1.025523, range=[-2.965871,2.781700], active=1
covariate 28:  name=covariate28, type=float, missing= 12 of 200, average=-0.150078, stdev=0.937165, range=[-2.861902,1.942096], active=1
covariate 29:  name=covariate29, type=float, missing=  8 of 200, average=0.089142, stdev=1.006685, range=[-3.209722,2.821727], active=1
covariate 30:  name=covariate30, type=float, missing= 16 of 200, average=0.012785, stdev=0.973803, range=[-3.156013,2.202284], active=1
covariate 31:  name=covariate31, type=float, missing= 14 of 200, average=-0.023113, stdev=0.962171, range=[-2.567528,2.611544], active=1
covariate 32:  name=covariate32, type=float, missing= 14 of 200, average=0.048338, stdev=1.002909, range=[-2.974803,3.124526], active=1
covariate 33:  name=covariate33, type=float, missing= 10 of 200, average=-0.008045, stdev=1.052875, range=[-2.933149,2.553890], active=1
covariate 34:  name=covariate34, type=float, missing=  8 of 200, average=0.039161, stdev=1.091141, range=[-3.318051,2.480139], active=1
covariate 35:  name=covariate35, type=float, missing=  8 of 200, average=-0.051799, stdev=1.000098, range=[-2.702229,2.418585], active=1
covariate 36:  name=covariate36, type=float, missing=  5 of 200, average=0.163098, stdev=1.003639, range=[-2.200509,2.592585], active=1
covariate 37:  name=covariate37, type=float, missing= 13 of 200, average=-0.070827, stdev=0.974621, range=[-2.284934,2.411491], active=1
covariate 38:  name=covariate38, type=float, missing=  9 of 200, average=0.034268, stdev=0.972416, range=[-2.435240,2.618760], active=1
covariate 39:  name=covariate39, type=float, missing= 10 of 200, average=-0.012690, stdev=0.947186, range=[-2.215855,2.499331], active=1
covariate 40:  name=covariate40, type=float, missing=  5 of 200, average=0.056190, stdev=1.035011, range=[-3.576751,3.055683], active=1
covariate 41:  name=covariate41, type=float, missing= 11 of 200, average=-0.010078, stdev=1.006929, range=[-3.117154,2.676633], active=1
covariate 42:  name=covariate42, type=float, missing= 12 of 200, average=-0.165487, stdev=1.076313, range=[-2.465061,2.640637], active=1
covariate 43:  name=covariate43, type=float, missing= 11 of 200, average=-0.027682, stdev=0.921140, range=[-2.368204,2.670958], active=1
covariate 44:  name=covariate44, type=float, missing=  8 of 200, average=-0.122104, stdev=0.970085, range=[-2.641784,1.986617], active=1
covariate 45:  name=covariate45, type=float, missing= 15 of 200, average=-0.058394, stdev=0.986119, range=[-2.822455,2.173091], active=1
covariate 46:  name=covariate46, type=float, missing=  9 of 200, average=-0.009112, stdev=0.956473, range=[-2.065690,2.283305], active=1
covariate 47:  name=covariate47, type=float, missing= 14 of 200, average=-0.032624, stdev=0.989317, range=[-2.392337,2.824250], active=1
covariate 48:  name=covariate48, type=float, missing= 11 of 200, average=-0.079905, stdev=1.000040, range=[-3.497834,3.382711], active=1
covariate 49:  name=covariate49, type=float, missing=  7 of 200, average=0.003744, stdev=1.069117, range=[-3.060310,2.391497], active=1
covariate 50:  name=covariate50, type=float, missing=  9 of 200, average=0.006493, stdev=0.976574, range=[-2.233836,2.750442], active=1
covariate 51:  name=covariate51, type=float, missing=  8 of 200, average=-0.028183, stdev=0.981318, range=[-2.882818,2.872307], active=1
covariate 52:  name=covariate52, type=float, missing=  4 of 200, average=0.041855, stdev=0.924756, range=[-2.576781,2.434807], active=1
covariate 53:  name=covariate53, type=float, missing= 13 of 200, average=0.017782, stdev=1.075956, range=[-2.501963,3.268592], active=1
covariate 54:  name=covariate54, type=float, missing= 10 of 200, average=-0.047259, stdev=1.012986, range=[-2.866288,2.999832], active=1
covariate 55:  name=covariate55, type=float, missing= 12 of 200, average=0.048511, stdev=1.053614, range=[-2.485604,3.407321], active=1
covariate 56:  name=covariate56, type=float, missing= 10 of 200, average=-0.021642, stdev=0.921939, range=[-2.348154,2.075982], active=1
covariate 57:  name=covariate57, type=float, missing= 11 of 200, average=-0.057737, stdev=0.964765, range=[-2.473370,2.720839], active=1
covariate 58:  name=covariate58, type=float, missing=  7 of 200, average=-0.051324, stdev=1.013935, range=[-2.724133,2.951726], active=1
covariate 59:  name=covariate59, type=float, missing= 10 of 200, average=-0.079122, stdev=0.999331, range=[-2.422783,2.388010], active=1
covariate 60:  name=covariate60, type=float, missing= 16 of 200, average=-0.077932, stdev=0.872740, range=[-2.483720,2.115080], active=1
