covariate 1:   type=float, missing=  5 of  50, average=0.245418, stdev=1.078536, range=[-3.131639,3.302952], active=1
covariate 20:  type=float, missing=  3 of  50, average=0.218000, stdev=1.003825, range=[-2.607936,2.553375], active=1
covariate 21:  type=float, missing=  1 of  50, average=-0.060246, stdev=1.186264, range=[-2.263103,3.568212], active=1
covariate 22:  type=float, missing=  3 of  50, average=-0.102217, stdev=0.956964, range=[-2.191506,2.116504], active=1
covariate 23:  type=float, missing=  7 of  50, average=-0.018199, stdev=1.192701, range=[-2.679970,2.600734], active=1
covariate 24:  type=float, missing=  1 of  50, average=-0.190413, stdev=1.051946, range=[-2.195626,2.992577], active=1
covariate 25:  type=float, missing=  2 of  50, average=0.094307, stdev=1.034141, range=[-2.467559,2.660967], active=1
covariate 26:  type=float, missing=  6 of  50, average=-0.099229, stdev=0.954450, range=[-2.218901,1.908199], active=1
covariate 27:  type=float, missing=  6 of  50, average=-0.122747, stdev=1.101144, range=[-3.068174,2.284405], active=1
covariate 28:  type=float, missing=  5 of  50, average=0.005637, stdev=1.080182, range=[-2.647293,1.862415], active=1
covariate 29:  type=float, missing=  4 of  50, average=0.022122, stdev=0.920859, range=[-2.560765,2.832278], active=1
covariate 30:  type=float, missing=  5 of  50, average=-0.050046, stdev=0.957869, range=[-2.364620,1.466167], active=1
covariate 31:  type=float, missing=  1 of  50, average=-0.115283, stdev=1.028963, range=[-2.666477,3.413596], active=1
covariate 32:  type=float, missing=  1 of  50, average=-0.206611, stdev=1.149658, range=[-2.824564,3.008549], active=1
covariate 33:  type=float, missing=  3 of  50, average=-0.328346, stdev=1.035741, range=[-2.773707,1.439370], active=1
covariate 34:  type=float, missing=  2 of  50, average=-0.227640, stdev=1.150738, range=[-3.156779,2.028472], active=1
covariate 35:  type=float, missing=  3 of  50, average=-0.131260, stdev=1.006172, range=[-2.598337,1.890032], active=1
covariate 36:  type=float, missing=  2 of  50, average=-0.057765, stdev=1.044206, range=[-2.099817,2.052476], active=1
covariate 37:  type=float, missing=  5 of  50, average=-0.150009, stdev=1.215810, range=[-2.492775,2.323462], active=1
covariate 38:  type=float, missing=  4 of  50, average=-0.170928, stdev=1.125874, range=[-2.275747,3.785006], active=1
covariate 39:  type=float, missing=  1 of  50, average=-0.064386, stdev=1.103991, range=[-2.403931,2.837575], active=1
covariate 40:  type=float, missing=  3 of  50, average=0.130981, stdev=1.070050, range=[-2.306734,2.556560], active=1
covariate 41:  type=float, missing=  2 of  50, average=0.150212, stdev=0.932110, range=[-1.994711,2.325388], active=1
covariate 42:  type=float, missing=  1 of  50, average=-0.266381, stdev=1.174605, range=[-2.288285,2.637219], active=1
covariate 43:  type=float, missing=  2 of  50, average=-0.048872, stdev=1.032986, range=[-2.460984,1.846674], active=1
covariate 44:  type=float, missing=  5 of  50, average=0.026040, stdev=0.991100, range=[-2.275576,2.253882], active=1
covariate 45:  type=float, missing=  2 of  50, average=-0.133803, stdev=1.054421, range=[-2.111801,2.220913], active=1
covariate 46:  type=float, missing=  1 of  50, average=-0.214204, stdev=1.084776, range=[-2.701481,2.011553], active=1
covariate 47:  type=float, missing=  1 of  50, average=0.080556, stdev=0.884291, range=[-2.116196,2.244508], active=1
covariate 48:  type=float, missing=  5 of  50, average=-0.246690, stdev=1.132989, range=[-2.854778,2.504775], active=1
covariate 49:  type=float, missing=  2 of  50, average=0.061165, stdev=1.154207, range=[-3.587830,2.317326], active=1
covariate 50:  type=float, missing=  4 of  50, average=-0.063205, stdev=1.071410, range=[-3.119517,2.024396], active=1
covariate 51:  type=float, missing=  3 of  50, average=-0.051599, stdev=0.945401, range=[-1.876557,1.988420], active=1
covariate 52:  type=float, missing=  3 of  50, average=-0.027549, stdev=0.945264, range=[-1.847488,2.323988], active=1
covariate 53:  type=float, missing=  2 of  50, average=-0.227568, stdev=0.992644, range=[-2.662123,2.252932], active=1
covariate 54:  type=float, missing=  3 of  50, average=-0.117189, stdev=0.902738, range=[-2.141735,2.021329], active=1
covariate 55:  type=float, missing=  3 of  50, average=-0.008581, stdev=1.011399, range=[-2.824084,1.804230], active=1
covariate 56:  type=float, missing=  1 of  50, average=-0.137115, stdev=0.961665, range=[-2.530152,1.865644], active=1
covariate 57:  type=float, missing=  4 of  50, average=-0.108849, stdev=0.912649, range=[-3.474271,1.514871], active=1
covariate 58:  type=float, missing=  4 of  50, average=-0.212469, stdev=0.971704, range=[-1.975967,2.068244], active=1
covariate 59:  type=float, missing=  3 of  50, average=-0.151175, stdev=1.017249, range=[-3.148389,1.786507], active=1
covariate 60:  type=float, missing=  2 of  50, average=0.015635, stdev=1.117041, range=[-3.368012,2.131085], active=1
