covariate 1:   type=float, missing=  3 of  50, average=-0.278031, stdev=0.991838, range=[-2.226723,1.737580], active=1
covariate 67:  type=float, missing=  2 of  50, average=-0.048074, stdev=1.030274, range=[-1.997041,1.978476], active=1
covariate 68:  type=float, missing=  3 of  50, average=0.125585, stdev=0.726923, range=[-0.805148,2.353831], active=1
covariate 69:  type=float, missing=  2 of  50, average=0.163734, stdev=1.022519, range=[-2.488251,2.720290], active=1
covariate 70:  type=float, missing=  2 of  50, average=0.147460, stdev=1.046530, range=[-2.053593,2.281889], active=1
covariate 71:  type=float, missing=  3 of  50, average=0.156179, stdev=1.028703, range=[-1.761644,3.060770], active=1
covariate 72:  type=float, missing=  1 of  50, average=-0.099344, stdev=0.864750, range=[-2.095646,1.648658], active=1
covariate 73:  type=float, missing=  4 of  50, average=0.033678, stdev=0.942446, range=[-2.337070,2.260922], active=1
covariate 74:  type=float, missing=  4 of  50, average=0.014464, stdev=1.121550, range=[-2.217622,2.389712], active=1
covariate 75:  type=float, missing=  3 of  50, average=-0.249888, stdev=0.931300, range=[-2.324907,1.551345], active=1
covariate 76:  type=float, missing=  1 of  50, average=0.199684, stdev=0.806149, range=[-1.668638,1.854536], active=1
covariate 77:  type=float, missing=  1 of  50, average=0.048580, stdev=0.901448, range=[-1.982501,2.030799], active=1
covariate 78:  type=float, missing=  5 of  50, average=0.037204, stdev=0.972981, range=[-2.781813,2.056181], active=1
covariate 79:  type=float, missing=  3 of  50, average=0.127339, stdev=1.017451, range=[-2.829103,2.375851], active=1
covariate 80:  type=float, missing=  2 of  50, average=0.056329, stdev=0.995548, range=[-2.214338,3.350279], active=1
covariate 81:  type=float, missing=  0 of  50, average=0.130663, stdev=1.127105, range=[-2.712500,2.808339], active=1
covariate 82:  type=float, missing=  6 of  50, average=-0.076529, stdev=1.019224, range=[-1.998683,1.942636], active=1
covariate 83:  type=float, missing=  2 of  50, average=0.194299, stdev=1.022652, range=[-1.580369,2.500736], active=1
covariate 84:  type=float, missing=  3 of  50, average=-0.037296, stdev=0.976927, range=[-2.415985,2.025932], active=1
covariate 85:  type=float, missing=  2 of  50, average=0.038680, stdev=0.976388, range=[-2.086748,2.682227], active=1
covariate 86:  type=float, missing=  4 of  50, average=-0.330531, stdev=1.200789, range=[-2.717651,2.604011], active=1
covariate 87:  type=float, missing=  4 of  50, average=0.073711, stdev=1.273294, range=[-3.339249,2.920949], active=1
covariate 88:  type=float, missing=  4 of  50, average=0.070718, stdev=0.982146, range=[-2.490614,2.537600], active=1
covariate 89:  type=float, missing=  2 of  50, average=-0.074544, stdev=1.064556, range=[-2.720483,1.873032], active=1
covariate 90:  type=float, missing=  3 of  50, average=0.103894, stdev=1.051708, range=[-2.160528,3.013400], active=1
covariate 91:  type=float, missing=  3 of  50, average=-0.106788, stdev=1.036623, range=[-3.462526,1.938581], active=1
covariate 92:  type=float, missing=  2 of  50, average=-0.035422, stdev=0.920491, range=[-2.208415,1.927277], active=1
covariate 93:  type=float, missing=  2 of  50, average=-0.100131, stdev=0.951585, range=[-2.852053,2.250229], active=1
covariate 94:  type=float, missing=  3 of  50, average=0.010146, stdev=0.884839, range=[-2.145606,1.583812], active=1
covariate 95:  type=float, missing=  3 of  50, average=-0.085216, stdev=1.056756, range=[-2.555941,2.169518], active=1
covariate 96:  type=float, missing=  3 of  50, average=-0.291120, stdev=0.975434, range=[-3.419806,1.943558], active=1
covariate 97:  type=float, missing=  1 of  50, average=-0.155937, stdev=0.882483, range=[-2.717299,2.511842], active=1
covariate 98:  type=float, missing=  2 of  50, average=-0.001217, stdev=0.996695, range=[-2.085563,2.137517], active=1
covariate 99:  type=float, missing=  5 of  50, average=0.009376, stdev=0.848521, range=[-1.737036,1.627266], active=1
covariate 100: type=float, missing=  7 of  50, average=0.202645, stdev=1.141962, range=[-2.062912,2.318510], active=1
