covariate 1:   name=covariate1, type=float, missing= 21 of 100, average=0.027770, stdev=0.877297, range=[-2.317506,2.245390], active=1
covariate 53:  name=covariate53, type=float, missing= 20 of 100, average=0.048689, stdev=0.916326, range=[-2.197888,2.108648], active=1
covariate 54:  name=covariate54, type=float, missing= 18 of 100, average=0.031551, stdev=1.048803, range=[-1.846645,3.655917], active=1
covariate 55:  name=covariate55, type=float, missing= 17 of 100, average=0.052950, stdev=0.959429, range=[-2.276850,2.083524], active=1
covariate 56:  name=covariate56, type=float, missing= 16 of 100, average=0.133807, stdev=1.080237, range=[-2.058720,2.448458], active=1
covariate 57:  name=covariate57, type=float, missing= 11 of 100, average=-0.056475, stdev=0.895271, range=[-2.711137,2.422301], active=1
covariate 58:  name=covariate58, type=float, missing= 16 of 100, average=-0.030586, stdev=0.925392, range=[-2.851194,1.791864], active=1
covariate 59:  name=covariate59, type=float, missing= 13 of 100, average=-0.089810, stdev=0.897340, range=[-2.889834,1.807247], active=1
covariate 60:  name=covariate60, type=float, missing= 16 of 100, average=-0.028941, stdev=0.974562, range=[-2.355221,2.482022], active=1
covariate 61:  name=covariate61, type=float, missing= 18 of 100, average=-0.002055, stdev=0.791865, range=[-1.730753,1.704258], active=1
covariate 62:  name=covariate62, type=float, missing= 22 of 100, average=-0.052499, stdev=0.962293, range=[-2.300813,2.213030], active=1
covariate 63:  name=covariate63, type=float, missing= 22 of 100, average=-0.084235, stdev=1.093157, range=[-3.479725,2.755378], active=1
covariate 64:  name=covariate64, type=float, missing= 25 of 100, average=-0.066796, stdev=0.996135, range=[-3.202011,2.166063], active=1
covariate 65:  name=covariate65, type=float, missing= 20 of 100, average=0.111455, stdev=0.890493, range=[-3.874906,1.969269], active=1
covariate 66:  name=covariate66, type=float, missing= 23 of 100, average=0.058112, stdev=0.942982, range=[-2.136052,2.417251], active=1
covariate 67:  name=covariate67, type=float, missing= 16 of 100, average=0.019562, stdev=0.936325, range=[-2.193222,2.630774], active=1
covariate 68:  name=covariate68, type=float, missing= 18 of 100, average=-0.037484, stdev=1.070093, range=[-3.023431,1.873621], active=1
covariate 69:  name=covariate69, type=float, missing= 16 of 100, average=-0.220584, stdev=0.974653, range=[-3.303155,1.864165], active=1
covariate 70:  name=covariate70, type=float, missing= 19 of 100, average=0.026050, stdev=0.900575, range=[-2.119308,2.006283], active=1
covariate 71:  name=covariate71, type=float, missing= 20 of 100, average=0.031295, stdev=0.949171, range=[-2.229441,1.838617], active=1
covariate 72:  name=covariate72, type=float, missing= 16 of 100, average=0.015895, stdev=0.954988, range=[-2.925711,2.057953], active=1
covariate 73:  name=covariate73, type=float, missing= 15 of 100, average=-0.118337, stdev=0.935246, range=[-2.746371,2.025607], active=1
covariate 74:  name=covariate74, type=float, missing= 22 of 100, average=-0.020327, stdev=1.041217, range=[-2.216518,2.136419], active=1
covariate 75:  name=covariate75, type=float, missing= 18 of 100, average=-0.115103, stdev=0.972249, range=[-2.494174,1.918448], active=1
covariate 76:  name=covariate76, type=float, missing= 26 of 100, average=0.099071, stdev=0.960669, range=[-1.950040,2.389382], active=1
covariate 77:  name=covariate77, type=float, missing= 27 of 100, average=-0.025997, stdev=1.143047, range=[-2.913520,3.852810], active=1
covariate 78:  name=covariate78, type=float, missing= 30 of 100, average=0.118398, stdev=1.087192, range=[-2.283733,2.626481], active=1
covariate 79:  name=covariate79, type=float, missing= 23 of 100, average=-0.071707, stdev=1.076632, range=[-1.989775,2.721508], active=1
covariate 80:  name=covariate80, type=float, missing= 28 of 100, average=-0.050126, stdev=1.110852, range=[-3.566109,2.129285], active=1
covariate 81:  name=covariate81, type=float, missing= 20 of 100, average=0.047543, stdev=0.995037, range=[-1.728427,3.021915], active=1
covariate 82:  name=covariate82, type=float, missing= 17 of 100, average=0.057646, stdev=0.984998, range=[-2.466896,2.723464], active=1
covariate 83:  name=covariate83, type=float, missing= 10 of 100, average=0.019336, stdev=0.960056, range=[-2.238522,2.955621], active=1
covariate 84:  name=covariate84, type=float, missing= 16 of 100, average=-0.056719, stdev=1.034379, range=[-2.611049,1.935586], active=1
covariate 85:  name=covariate85, type=float, missing= 22 of 100, average=0.043566, stdev=1.051202, range=[-3.156099,2.188391], active=1
covariate 86:  name=covariate86, type=float, missing= 24 of 100, average=-0.141212, stdev=1.105731, range=[-2.456917,2.474209], active=1
covariate 87:  name=covariate87, type=float, missing= 11 of 100, average=0.115456, stdev=0.984460, range=[-2.898054,2.812229], active=1
covariate 88:  name=covariate88, type=float, missing= 23 of 100, average=-0.156442, stdev=1.089871, range=[-2.910288,2.340984], active=1
covariate 89:  name=covariate89, type=float, missing= 19 of 100, average=-0.058868, stdev=0.940837, range=[-2.178427,1.783338], active=1
covariate 90:  name=covariate90, type=float, missing= 23 of 100, average=-0.088027, stdev=1.016545, range=[-2.684171,2.892489], active=1
covariate 91:  name=covariate91, type=float, missing= 23 of 100, average=-0.142249, stdev=1.031500, range=[-2.731817,2.402396], active=1
covariate 92:  name=covariate92, type=float, missing= 21 of 100, average=0.065694, stdev=0.893227, range=[-2.681701,1.767256], active=1
covariate 93:  name=covariate93, type=float, missing= 21 of 100, average=-0.058430, stdev=0.990806, range=[-3.003670,2.223508], active=1
covariate 94:  name=covariate94, type=float, missing= 24 of 100, average=0.059528, stdev=0.995678, range=[-3.058783,2.145736], active=1
covariate 95:  name=covariate95, type=float, missing= 19 of 100, average=-0.052208, stdev=0.905490, range=[-2.323158,2.585409], active=1
covariate 96:  name=covariate96, type=float, missing= 18 of 100, average=-0.245557, stdev=0.932675, range=[-2.404161,1.581309], active=1
covariate 97:  name=covariate97, type=float, missing= 20 of 100, average=-0.127095, stdev=0.890688, range=[-2.006338,2.188811], active=1
covariate 98:  name=covariate98, type=float, missing= 25 of 100, average=-0.030411, stdev=1.123317, range=[-2.911008,2.431375], active=1
covariate 99:  name=covariate99, type=float, missing= 20 of 100, average=-0.022943, stdev=0.963830, range=[-2.474942,2.346053], active=1
covariate 100: name=covariate100, type=float, missing= 23 of 100, average=-0.007478, stdev=1.019637, range=[-2.281149,2.882497], active=1
