covariate 1:   type=float, missing=  0 of 100, average=0.058376, stdev=0.922704, range=[-2.317506,2.245390], active=1
covariate 27:  type=float, missing=  0 of 100, average=-0.146005, stdev=0.921844, range=[-2.916535,2.191412], active=1
covariate 28:  type=float, missing=  0 of 100, average=-0.234387, stdev=1.012948, range=[-3.337451,2.214592], active=1
covariate 29:  type=float, missing=  0 of 100, average=-0.002943, stdev=1.025437, range=[-2.618270,2.827004], active=1
covariate 30:  type=float, missing=  0 of 100, average=0.191226, stdev=1.042542, range=[-2.960573,3.070422], active=1
covariate 31:  type=float, missing=  0 of 100, average=0.083708, stdev=1.014519, range=[-2.414130,3.283873], active=1
covariate 32:  type=float, missing=  0 of 100, average=-0.062685, stdev=0.924048, range=[-3.109633,1.871213], active=1
covariate 33:  type=float, missing=  0 of 100, average=0.040077, stdev=1.062278, range=[-3.580140,1.972280], active=1
covariate 34:  type=float, missing=  0 of 100, average=-0.093347, stdev=0.979563, range=[-2.651976,2.007613], active=1
covariate 35:  type=float, missing=  0 of 100, average=0.197848, stdev=1.027239, range=[-1.965401,2.776073], active=1
covariate 36:  type=float, missing=  0 of 100, average=-0.012416, stdev=1.092519, range=[-3.446633,3.714151], active=1
covariate 37:  type=float, missing=  0 of 100, average=-0.005925, stdev=0.977314, range=[-2.550895,2.369438], active=1
covariate 38:  type=float, missing=  0 of 100, average=-0.126217, stdev=1.005876, range=[-2.763636,3.058226], active=1
covariate 39:  type=float, missing=  0 of 100, average=0.000998, stdev=0.919404, range=[-2.150709,2.966459], active=1
covariate 40:  type=float, missing=  0 of 100, average=0.049822, stdev=0.983312, range=[-2.155654,1.791171], active=1
covariate 41:  type=float, missing=  0 of 100, average=0.134782, stdev=0.875591, range=[-2.242400,2.431885], active=1
covariate 42:  type=float, missing=  0 of 100, average=-0.082032, stdev=1.015937, range=[-2.677849,2.535322], active=1
covariate 43:  type=float, missing=  0 of 100, average=0.238339, stdev=1.069878, range=[-2.492611,3.381487], active=1
covariate 44:  type=float, missing=  0 of 100, average=0.132959, stdev=1.038385, range=[-2.507627,3.157093], active=1
covariate 45:  type=float, missing=  0 of 100, average=0.058639, stdev=0.919038, range=[-2.784854,1.767191], active=1
covariate 46:  type=float, missing=  0 of 100, average=-0.030990, stdev=0.919806, range=[-2.251855,1.792303], active=1
covariate 47:  type=float, missing=  0 of 100, average=-0.142401, stdev=1.031731, range=[-2.902868,2.179714], active=1
covariate 48:  type=float, missing=  0 of 100, average=-0.173954, stdev=0.985906, range=[-2.938510,1.717829], active=1
covariate 49:  type=float, missing=  0 of 100, average=0.096241, stdev=1.010721, range=[-2.861544,3.354889], active=1
covariate 50:  type=float, missing=  0 of 100, average=0.021218, stdev=1.103618, range=[-3.644631,2.936877], active=1
covariate 51:  type=float, missing=  0 of 100, average=0.178894, stdev=1.014698, range=[-2.869292,2.413366], active=1
covariate 52:  type=float, missing=  0 of 100, average=-0.097419, stdev=1.133022, range=[-3.358963,2.292613], active=1
covariate 53:  type=float, missing=  0 of 100, average=0.048742, stdev=0.991505, range=[-2.197888,2.690668], active=1
covariate 54:  type=float, missing=  0 of 100, average=0.037671, stdev=1.030483, range=[-1.846645,3.655917], active=1
covariate 55:  type=float, missing=  0 of 100, average=-0.016565, stdev=0.968674, range=[-2.276850,2.083524], active=1
covariate 56:  type=float, missing=  0 of 100, average=0.144624, stdev=1.041835, range=[-2.058720,2.448458], active=1
covariate 57:  type=float, missing=  0 of 100, average=-0.050936, stdev=0.849475, range=[-2.711137,2.422301], active=1
covariate 58:  type=float, missing=  0 of 100, average=0.033933, stdev=0.938031, range=[-2.851194,2.507463], active=1
covariate 59:  type=float, missing=  0 of 100, average=-0.085590, stdev=0.938155, range=[-2.889834,2.541015], active=1
covariate 60:  type=float, missing=  0 of 100, average=-0.087122, stdev=0.959636, range=[-2.355221,2.482022], active=1
covariate 61:  type=float, missing=  0 of 100, average=0.019516, stdev=0.815536, range=[-2.118465,1.704258], active=1
covariate 62:  type=float, missing=  0 of 100, average=-0.024510, stdev=0.974313, range=[-2.300813,2.213030], active=1
covariate 63:  type=float, missing=  0 of 100, average=-0.071083, stdev=1.077258, range=[-3.479725,2.755378], active=1
covariate 64:  type=float, missing=  0 of 100, average=-0.020574, stdev=0.961816, range=[-3.202011,2.166063], active=1
covariate 65:  type=float, missing=  0 of 100, average=0.096957, stdev=0.880233, range=[-3.874906,1.969269], active=1
covariate 66:  type=float, missing=  0 of 100, average=-0.003086, stdev=0.976102, range=[-2.136052,2.417251], active=1
covariate 67:  type=float, missing=  0 of 100, average=-0.014307, stdev=0.931701, range=[-2.193222,2.630774], active=1
covariate 68:  type=float, missing=  0 of 100, average=-0.035940, stdev=1.028663, range=[-3.023431,2.030238], active=1
covariate 69:  type=float, missing=  0 of 100, average=-0.103835, stdev=1.053653, range=[-3.303155,1.987661], active=1
covariate 70:  type=float, missing=  0 of 100, average=0.017893, stdev=0.893130, range=[-2.119308,2.006283], active=1
covariate 71:  type=float, missing=  0 of 100, average=-0.030800, stdev=0.953536, range=[-2.229441,1.838617], active=1
covariate 72:  type=float, missing=  0 of 100, average=0.010710, stdev=0.945418, range=[-2.925711,2.057953], active=1
covariate 73:  type=float, missing=  0 of 100, average=-0.056623, stdev=0.934518, range=[-2.746371,2.215154], active=1
covariate 74:  type=float, missing=  0 of 100, average=-0.034102, stdev=1.002923, range=[-2.216518,2.136419], active=1
covariate 75:  type=float, missing=  0 of 100, average=-0.097534, stdev=0.940401, range=[-2.494174,1.918448], active=1
covariate 76:  type=float, missing=  0 of 100, average=0.184339, stdev=1.041361, range=[-1.950040,3.232774], active=1
covariate 77:  type=float, missing=  0 of 100, average=0.039497, stdev=1.069705, range=[-2.913520,3.852810], active=1
covariate 78:  type=float, missing=  0 of 100, average=0.034027, stdev=1.063617, range=[-2.283733,2.626481], active=1
covariate 79:  type=float, missing=  0 of 100, average=-0.108023, stdev=1.098215, range=[-3.030688,2.721508], active=1
covariate 80:  type=float, missing=  0 of 100, average=-0.021648, stdev=1.085270, range=[-3.566109,2.521536], active=1
