covariate 1:   name=covariate1, type=float, missing= 38 of 100, average=-0.045903, stdev=1.128460, range=[-2.291840,2.013671], active=1
covariate 21:  name=covariate21, type=float, missing= 38 of 100, average=0.028579, stdev=0.982874, range=[-2.152297,2.044931], active=1
covariate 22:  name=covariate22, type=float, missing= 28 of 100, average=0.007945, stdev=0.934756, range=[-2.264688,1.769468], active=1
covariate 23:  name=covariate23, type=float, missing= 40 of 100, average=0.349972, stdev=1.007076, range=[-1.817914,2.061910], active=1
covariate 24:  name=covariate24, type=float, missing= 38 of 100, average=0.014896, stdev=1.164926, range=[-3.294046,2.213425], active=1
covariate 25:  name=covariate25, type=float, missing= 42 of 100, average=0.250977, stdev=0.990238, range=[-2.271287,2.528650], active=1
covariate 26:  name=covariate26, type=float, missing= 37 of 100, average=0.106849, stdev=1.005364, range=[-1.749909,2.769958], active=1
covariate 27:  name=covariate27, type=float, missing= 42 of 100, average=-0.215934, stdev=0.998084, range=[-2.384140,2.203386], active=1
covariate 28:  name=covariate28, type=float, missing= 38 of 100, average=-0.107373, stdev=1.094182, range=[-2.746982,3.245225], active=1
covariate 29:  name=covariate29, type=float, missing= 46 of 100, average=0.102663, stdev=0.980514, range=[-2.078362,2.248483], active=1
covariate 30:  name=covariate30, type=float, missing= 45 of 100, average=0.018421, stdev=0.965583, range=[-2.117707,1.724623], active=1
covariate 31:  name=covariate31, type=float, missing= 46 of 100, average=-0.120720, stdev=0.916425, range=[-2.225063,1.969204], active=1
covariate 32:  name=covariate32, type=float, missing= 44 of 100, average=-0.036753, stdev=0.953150, range=[-1.659876,2.059859], active=1
covariate 33:  name=covariate33, type=float, missing= 32 of 100, average=-0.196896, stdev=0.975007, range=[-3.590688,2.368803], active=1
covariate 34:  name=covariate34, type=float, missing= 38 of 100, average=-0.178759, stdev=0.932885, range=[-1.972899,1.559409], active=1
covariate 35:  name=covariate35, type=float, missing= 33 of 100, average=-0.004605, stdev=0.843675, range=[-1.973365,1.772971], active=1
covariate 36:  name=covariate36, type=float, missing= 37 of 100, average=-0.103930, stdev=0.883870, range=[-2.281436,1.460795], active=1
covariate 37:  name=covariate37, type=float, missing= 33 of 100, average=0.092075, stdev=1.008106, range=[-2.342336,2.366662], active=1
covariate 38:  name=covariate38, type=float, missing= 39 of 100, average=-0.031961, stdev=0.968513, range=[-1.991520,2.064474], active=1
covariate 39:  name=covariate39, type=float, missing= 46 of 100, average=0.098554, stdev=0.822132, range=[-2.542432,2.158677], active=1
covariate 40:  name=covariate40, type=float, missing= 39 of 100, average=-0.024277, stdev=0.936004, range=[-2.126785,2.937480], active=1
covariate 41:  name=covariate41, type=float, missing= 43 of 100, average=0.060969, stdev=1.059367, range=[-2.551764,2.837663], active=1
covariate 42:  name=covariate42, type=float, missing= 38 of 100, average=-0.000701, stdev=0.898907, range=[-2.250804,1.956270], active=1
covariate 43:  name=covariate43, type=float, missing= 42 of 100, average=-0.093814, stdev=0.972346, range=[-1.964547,2.087495], active=1
covariate 44:  name=covariate44, type=float, missing= 46 of 100, average=0.158710, stdev=1.097616, range=[-2.328216,2.758500], active=1
covariate 45:  name=covariate45, type=float, missing= 38 of 100, average=0.096304, stdev=0.823003, range=[-1.837150,1.885731], active=1
covariate 46:  name=covariate46, type=float, missing= 37 of 100, average=-0.178951, stdev=1.062934, range=[-2.639542,2.009271], active=1
covariate 47:  name=covariate47, type=float, missing= 41 of 100, average=0.047181, stdev=1.065574, range=[-2.701761,2.430835], active=1
covariate 48:  name=covariate48, type=float, missing= 46 of 100, average=-0.018025, stdev=1.083015, range=[-2.335015,1.945619], active=1
covariate 49:  name=covariate49, type=float, missing= 43 of 100, average=-0.043819, stdev=1.021431, range=[-2.589472,2.047039], active=1
covariate 50:  name=covariate50, type=float, missing= 33 of 100, average=-0.048795, stdev=0.806169, range=[-2.611398,1.376127], active=1
covariate 51:  name=covariate51, type=float, missing= 47 of 100, average=0.064192, stdev=0.776690, range=[-1.471894,1.993565], active=1
covariate 52:  name=covariate52, type=float, missing= 39 of 100, average=0.049017, stdev=1.033038, range=[-2.583975,2.215502], active=1
covariate 53:  name=covariate53, type=float, missing= 43 of 100, average=0.012872, stdev=1.062446, range=[-1.845979,2.433456], active=1
covariate 54:  name=covariate54, type=float, missing= 43 of 100, average=0.030158, stdev=1.013390, range=[-1.884675,2.409094], active=1
covariate 55:  name=covariate55, type=float, missing= 40 of 100, average=-0.076114, stdev=0.891959, range=[-2.240217,1.818660], active=1
covariate 56:  name=covariate56, type=float, missing= 40 of 100, average=-0.067143, stdev=1.027324, range=[-2.044448,2.287276], active=1
covariate 57:  name=covariate57, type=float, missing= 40 of 100, average=0.023286, stdev=0.918177, range=[-2.297749,2.070390], active=1
covariate 58:  name=covariate58, type=float, missing= 39 of 100, average=-0.003071, stdev=0.930462, range=[-2.205495,2.656452], active=1
covariate 59:  name=covariate59, type=float, missing= 41 of 100, average=0.015935, stdev=0.884236, range=[-2.005561,1.807236], active=1
covariate 60:  name=covariate60, type=float, missing= 42 of 100, average=0.067237, stdev=1.044379, range=[-2.132718,2.986576], active=1
covariate 61:  name=covariate61, type=float, missing= 49 of 100, average=-0.078452, stdev=0.908070, range=[-1.821846,2.359622], active=1
covariate 62:  name=covariate62, type=float, missing= 40 of 100, average=0.003524, stdev=0.929211, range=[-2.545684,1.803454], active=1
covariate 63:  name=covariate63, type=float, missing= 37 of 100, average=-0.030893, stdev=0.940369, range=[-2.642314,2.543859], active=1
covariate 64:  name=covariate64, type=float, missing= 47 of 100, average=-0.046731, stdev=0.925650, range=[-2.567715,1.961399], active=1
covariate 65:  name=covariate65, type=float, missing= 38 of 100, average=-0.008711, stdev=0.969783, range=[-1.686075,3.497317], active=1
covariate 66:  name=covariate66, type=float, missing= 46 of 100, average=-0.001172, stdev=1.071707, range=[-2.217379,2.214514], active=1
covariate 67:  name=covariate67, type=float, missing= 33 of 100, average=0.164072, stdev=0.988914, range=[-2.077582,2.710604], active=1
covariate 68:  name=covariate68, type=float, missing= 39 of 100, average=-0.212506, stdev=0.955993, range=[-2.469004,2.041424], active=1
covariate 69:  name=covariate69, type=float, missing= 39 of 100, average=0.174664, stdev=1.010715, range=[-1.942295,2.298257], active=1
covariate 70:  name=covariate70, type=float, missing= 41 of 100, average=0.172880, stdev=0.886153, range=[-2.352858,2.147938], active=1
covariate 71:  name=covariate71, type=float, missing= 39 of 100, average=0.056994, stdev=1.086572, range=[-2.053180,2.957343], active=1
covariate 72:  name=covariate72, type=float, missing= 38 of 100, average=0.082369, stdev=1.118393, range=[-2.776192,2.741935], active=1
covariate 73:  name=covariate73, type=float, missing= 46 of 100, average=-0.260830, stdev=1.135519, range=[-2.758521,2.829225], active=1
covariate 74:  name=covariate74, type=float, missing= 44 of 100, average=-0.157494, stdev=1.043299, range=[-2.993146,2.372749], active=1
covariate 75:  name=covariate75, type=float, missing= 33 of 100, average=0.008005, stdev=1.031389, range=[-2.942789,3.100188], active=1
covariate 76:  name=covariate76, type=float, missing= 43 of 100, average=0.074761, stdev=0.951843, range=[-2.573415,2.335319], active=1
covariate 77:  name=covariate77, type=float, missing= 48 of 100, average=-0.114178, stdev=0.830372, range=[-1.993846,1.682588], active=1
covariate 78:  name=covariate78, type=float, missing= 30 of 100, average=-0.159123, stdev=0.897251, range=[-2.146193,2.135909], active=1
covariate 79:  name=covariate79, type=float, missing= 41 of 100, average=0.260588, stdev=1.148125, range=[-1.989580,3.092697], active=1
covariate 80:  name=covariate80, type=float, missing= 40 of 100, average=0.136367, stdev=1.034923, range=[-2.587223,2.402501], active=1
covariate 81:  name=covariate81, type=float, missing= 38 of 100, average=-0.206885, stdev=1.058751, range=[-3.106363,1.822916], active=1
covariate 82:  name=covariate82, type=float, missing= 49 of 100, average=0.060056, stdev=0.963038, range=[-2.702558,2.256763], active=1
covariate 83:  name=covariate83, type=float, missing= 40 of 100, average=0.105889, stdev=0.951221, range=[-2.559732,1.851185], active=1
covariate 84:  name=covariate84, type=float, missing= 28 of 100, average=0.096036, stdev=0.921962, range=[-1.620670,2.703290], active=1
covariate 85:  name=covariate85, type=float, missing= 41 of 100, average=-0.069607, stdev=1.012291, range=[-2.114639,2.388136], active=1
covariate 86:  name=covariate86, type=float, missing= 34 of 100, average=0.047100, stdev=0.944421, range=[-2.803534,2.296054], active=1
covariate 87:  name=covariate87, type=float, missing= 45 of 100, average=-0.033940, stdev=1.177668, range=[-2.593182,2.316128], active=1
covariate 88:  name=covariate88, type=float, missing= 48 of 100, average=-0.359112, stdev=0.779848, range=[-2.108993,1.631385], active=1
covariate 89:  name=covariate89, type=float, missing= 36 of 100, average=-0.187697, stdev=0.837768, range=[-2.778514,1.518406], active=1
covariate 90:  name=covariate90, type=float, missing= 32 of 100, average=0.127800, stdev=1.063264, range=[-2.231366,2.430280], active=1
covariate 91:  name=covariate91, type=float, missing= 42 of 100, average=-0.140854, stdev=0.932771, range=[-2.035929,1.839552], active=1
covariate 92:  name=covariate92, type=float, missing= 39 of 100, average=-0.105963, stdev=1.101237, range=[-3.772814,2.326289], active=1
covariate 93:  name=covariate93, type=float, missing= 38 of 100, average=0.020570, stdev=0.837805, range=[-1.357186,2.144903], active=1
covariate 94:  name=covariate94, type=float, missing= 47 of 100, average=-0.057378, stdev=0.889426, range=[-1.623505,1.619380], active=1
covariate 95:  name=covariate95, type=float, missing= 45 of 100, average=-0.011477, stdev=0.771426, range=[-1.605561,2.035031], active=1
covariate 96:  name=covariate96, type=float, missing= 38 of 100, average=-0.207478, stdev=0.989020, range=[-3.205262,1.814380], active=1
covariate 97:  name=covariate97, type=float, missing= 45 of 100, average=0.127679, stdev=0.984215, range=[-2.990338,2.250924], active=1
covariate 98:  name=covariate98, type=float, missing= 34 of 100, average=-0.004901, stdev=1.043557, range=[-2.481539,3.145314], active=1
covariate 99:  name=covariate99, type=float, missing= 32 of 100, average=-0.145318, stdev=0.993400, range=[-2.672360,3.277765], active=1
covariate 100: name=covariate100, type=float, missing= 49 of 100, average=0.108850, stdev=0.960375, range=[-2.565193,2.893170], active=1
