covariate 1:   type=float, missing=  0 of  10, average=-0.353362, stdev=0.885337, range=[-1.261363,1.772670], active=1
covariate 29:  type=float, missing=  2 of  10, average=-0.080403, stdev=0.839139, range=[-1.010708,1.188039], active=1
covariate 30:  type=float, missing=  0 of  10, average=-0.267671, stdev=0.780890, range=[-1.597386,1.152742], active=1
covariate 31:  type=float, missing=  0 of  10, average=-0.306935, stdev=1.185151, range=[-2.395451,1.623929], active=1
covariate 32:  type=float, missing=  1 of  10, average=-0.359897, stdev=0.917104, range=[-1.580158,1.850570], active=1
covariate 33:  type=float, missing=  0 of  10, average=0.664940, stdev=0.752691, range=[-0.510847,2.172198], active=1
covariate 34:  type=float, missing=  1 of  10, average=0.069930, stdev=0.971237, range=[-1.211313,1.774340], active=1
covariate 35:  type=float, missing=  1 of  10, average=0.099693, stdev=0.916938, range=[-1.119587,2.233728], active=1
covariate 36:  type=float, missing=  1 of  10, average=-0.406845, stdev=0.574213, range=[-1.278863,0.453909], active=1
covariate 37:  type=float, missing=  2 of  10, average=0.503519, stdev=1.132355, range=[-1.477388,2.538608], active=1
covariate 38:  type=float, missing=  1 of  10, average=-0.317147, stdev=0.702886, range=[-1.072799,1.423542], active=1
covariate 39:  type=float, missing=  0 of  10, average=0.418966, stdev=0.993758, range=[-0.869745,2.605168], active=1
covariate 40:  type=float, missing=  1 of  10, average=-0.582469, stdev=1.452841, range=[-2.412581,1.871763], active=1
covariate 41:  type=float, missing=  0 of  10, average=-0.331766, stdev=1.388318, range=[-3.024593,1.362589], active=1
covariate 42:  type=float, missing=  1 of  10, average=0.578134, stdev=0.672200, range=[-0.356813,1.657921], active=1
covariate 43:  type=float, missing=  0 of  10, average=-0.460989, stdev=1.075397, range=[-2.559132,0.861295], active=1
covariate 44:  type=float, missing=  1 of  10, average=0.310074, stdev=0.824767, range=[-1.161229,1.634136], active=1
covariate 45:  type=float, missing=  0 of  10, average=0.032712, stdev=1.049323, range=[-1.776136,1.961143], active=1
covariate 46:  type=float, missing=  0 of  10, average=-0.235253, stdev=0.389301, range=[-0.779736,0.465434], active=1
covariate 47:  type=float, missing=  1 of  10, average=-0.114436, stdev=0.674884, range=[-1.314599,0.676865], active=1
covariate 48:  type=float, missing=  0 of  10, average=0.352885, stdev=0.993125, range=[-2.060414,1.362488], active=1
covariate 49:  type=float, missing=  0 of  10, average=-0.279968, stdev=0.910030, range=[-1.589554,1.005680], active=1
covariate 50:  type=float, missing=  0 of  10, average=-0.754994, stdev=0.898051, range=[-2.386807,0.491152], active=1
covariate 51:  type=float, missing=  0 of  10, average=0.111517, stdev=0.844901, range=[-1.315297,1.669548], active=1
covariate 52:  type=float, missing=  0 of  10, average=-0.170858, stdev=0.733769, range=[-1.093702,1.013876], active=1
covariate 53:  type=float, missing=  0 of  10, average=-0.126758, stdev=0.675315, range=[-1.223598,0.678471], active=1
covariate 54:  type=float, missing=  2 of  10, average=-0.331692, stdev=0.727734, range=[-1.338117,1.144722], active=1
covariate 55:  type=float, missing=  0 of  10, average=0.133893, stdev=0.928121, range=[-1.450868,1.433311], active=1
covariate 56:  type=float, missing=  0 of  10, average=-0.145691, stdev=1.028256, range=[-1.526370,1.939126], active=1
covariate 57:  type=float, missing=  1 of  10, average=0.196085, stdev=1.127596, range=[-1.967715,1.808148], active=1
covariate 58:  type=float, missing=  0 of  10, average=-0.021394, stdev=0.639316, range=[-0.775272,1.297454], active=1
covariate 59:  type=float, missing=  1 of  10, average=-0.149184, stdev=0.938212, range=[-1.480196,1.454975], active=1
covariate 60:  type=float, missing=  0 of  10, average=-0.354836, stdev=0.789899, range=[-2.026576,1.055137], active=1
