covariate 1:   name=covariate1, type=float, missing= 27 of 100, average=-0.087165, stdev=0.889623, range=[-1.830931,2.057159], active=1
covariate 48:  name=covariate48, type=float, missing= 24 of 100, average=-0.111711, stdev=0.902717, range=[-2.299373,1.625460], active=1
covariate 49:  name=covariate49, type=float, missing= 20 of 100, average=-0.068008, stdev=0.831593, range=[-1.838472,2.811147], active=1
covariate 50:  name=covariate50, type=float, missing= 27 of 100, average=0.144109, stdev=0.803034, range=[-1.609911,2.248529], active=1
covariate 51:  name=covariate51, type=float, missing= 20 of 100, average=-0.052836, stdev=1.010624, range=[-2.529574,2.189609], active=1
covariate 52:  name=covariate52, type=float, missing= 26 of 100, average=-0.104375, stdev=1.060725, range=[-2.274138,2.936979], active=1
covariate 53:  name=covariate53, type=float, missing= 21 of 100, average=-0.019948, stdev=0.911312, range=[-2.254975,1.823051], active=1
covariate 54:  name=covariate54, type=float, missing= 24 of 100, average=-0.191117, stdev=1.012805, range=[-3.135232,2.524395], active=1
covariate 55:  name=covariate55, type=float, missing= 16 of 100, average=0.134275, stdev=0.949522, range=[-2.193578,2.231001], active=1
covariate 56:  name=covariate56, type=float, missing= 15 of 100, average=0.040050, stdev=0.989338, range=[-2.222897,2.655328], active=1
covariate 57:  name=covariate57, type=float, missing= 23 of 100, average=-0.173269, stdev=0.890669, range=[-3.612938,1.512311], active=1
covariate 58:  name=covariate58, type=float, missing= 17 of 100, average=-0.147993, stdev=0.957905, range=[-2.619936,2.204818], active=1
covariate 59:  name=covariate59, type=float, missing= 17 of 100, average=-0.218991, stdev=0.828451, range=[-1.853808,1.994901], active=1
covariate 60:  name=covariate60, type=float, missing= 23 of 100, average=0.120364, stdev=0.994637, range=[-2.116680,2.703580], active=1
covariate 61:  name=covariate61, type=float, missing= 22 of 100, average=0.095777, stdev=0.937690, range=[-1.831626,2.854641], active=1
covariate 62:  name=covariate62, type=float, missing= 21 of 100, average=0.177080, stdev=0.972332, range=[-1.741689,3.215101], active=1
covariate 63:  name=covariate63, type=float, missing= 25 of 100, average=-0.044173, stdev=0.962465, range=[-2.259007,2.552370], active=1
covariate 64:  name=covariate64, type=float, missing= 25 of 100, average=-0.239416, stdev=1.039710, range=[-2.639106,2.234516], active=1
covariate 65:  name=covariate65, type=float, missing= 20 of 100, average=0.007864, stdev=1.089307, range=[-2.552562,2.613129], active=1
covariate 66:  name=covariate66, type=float, missing= 17 of 100, average=0.081009, stdev=1.023345, range=[-1.384454,2.750966], active=1
covariate 67:  name=covariate67, type=float, missing= 28 of 100, average=0.130717, stdev=0.893316, range=[-2.012478,2.648642], active=1
covariate 68:  name=covariate68, type=float, missing= 16 of 100, average=0.191399, stdev=0.854790, range=[-2.692227,1.708356], active=1
covariate 69:  name=covariate69, type=float, missing= 18 of 100, average=0.004328, stdev=0.980548, range=[-2.427788,2.188543], active=1
covariate 70:  name=covariate70, type=float, missing= 22 of 100, average=-0.180075, stdev=1.065548, range=[-2.603599,2.179481], active=1
covariate 71:  name=covariate71, type=float, missing= 18 of 100, average=-0.193830, stdev=1.010611, range=[-3.067982,2.175315], active=1
covariate 72:  name=covariate72, type=float, missing= 14 of 100, average=-0.002628, stdev=0.921984, range=[-2.406138,2.117795], active=1
covariate 73:  name=covariate73, type=float, missing= 21 of 100, average=0.034823, stdev=0.915925, range=[-2.124467,3.411951], active=1
covariate 74:  name=covariate74, type=float, missing= 20 of 100, average=0.110417, stdev=1.007140, range=[-1.673535,2.807195], active=1
covariate 75:  name=covariate75, type=float, missing= 19 of 100, average=0.121968, stdev=1.050533, range=[-2.494989,3.550677], active=1
covariate 76:  name=covariate76, type=float, missing= 23 of 100, average=0.202731, stdev=1.086187, range=[-2.408458,2.588434], active=1
covariate 77:  name=covariate77, type=float, missing= 18 of 100, average=0.084814, stdev=0.847838, range=[-1.873896,2.777123], active=1
covariate 78:  name=covariate78, type=float, missing= 27 of 100, average=-0.027414, stdev=1.053428, range=[-2.218434,2.764710], active=1
covariate 79:  name=covariate79, type=float, missing= 21 of 100, average=-0.053611, stdev=0.917281, range=[-2.010746,2.626715], active=1
covariate 80:  name=covariate80, type=float, missing= 19 of 100, average=-0.089817, stdev=1.026871, range=[-2.350412,2.363533], active=1
covariate 81:  name=covariate81, type=float, missing= 15 of 100, average=0.036500, stdev=1.021227, range=[-2.246791,2.511598], active=1
covariate 82:  name=covariate82, type=float, missing= 19 of 100, average=-0.023539, stdev=0.885921, range=[-3.049093,2.690996], active=1
covariate 83:  name=covariate83, type=float, missing= 14 of 100, average=0.101555, stdev=0.943315, range=[-2.260273,2.556924], active=1
covariate 84:  name=covariate84, type=float, missing= 24 of 100, average=0.063596, stdev=1.035398, range=[-2.337917,2.186647], active=1
covariate 85:  name=covariate85, type=float, missing= 17 of 100, average=-0.049198, stdev=0.940624, range=[-2.172364,2.407309], active=1
covariate 86:  name=covariate86, type=float, missing= 12 of 100, average=0.107999, stdev=0.967769, range=[-2.308037,2.146098], active=1
covariate 87:  name=covariate87, type=float, missing= 22 of 100, average=-0.102873, stdev=0.986084, range=[-2.456592,2.605820], active=1
covariate 88:  name=covariate88, type=float, missing= 17 of 100, average=0.037818, stdev=0.975550, range=[-2.397956,1.999630], active=1
covariate 89:  name=covariate89, type=float, missing= 20 of 100, average=-0.047266, stdev=0.898433, range=[-2.244004,1.900953], active=1
covariate 90:  name=covariate90, type=float, missing= 24 of 100, average=0.085056, stdev=1.038868, range=[-2.769292,3.465660], active=1
covariate 91:  name=covariate91, type=float, missing= 20 of 100, average=0.057849, stdev=1.050276, range=[-3.146901,2.800347], active=1
covariate 92:  name=covariate92, type=float, missing= 11 of 100, average=-0.025955, stdev=1.002977, range=[-2.705705,2.294041], active=1
covariate 93:  name=covariate93, type=float, missing= 25 of 100, average=-0.019489, stdev=1.002453, range=[-2.777815,2.345037], active=1
covariate 94:  name=covariate94, type=float, missing= 23 of 100, average=-0.035765, stdev=1.014620, range=[-2.276440,3.099371], active=1
covariate 95:  name=covariate95, type=float, missing= 24 of 100, average=0.018616, stdev=0.924195, range=[-2.349781,2.448432], active=1
covariate 96:  name=covariate96, type=float, missing= 22 of 100, average=0.154188, stdev=1.063937, range=[-2.096847,2.723683], active=1
covariate 97:  name=covariate97, type=float, missing= 27 of 100, average=-0.191644, stdev=1.069433, range=[-3.207896,1.973864], active=1
covariate 98:  name=covariate98, type=float, missing= 18 of 100, average=0.001542, stdev=1.065545, range=[-2.626185,3.184696], active=1
covariate 99:  name=covariate99, type=float, missing= 16 of 100, average=-0.085096, stdev=0.915095, range=[-2.120787,2.321986], active=1
covariate 100: name=covariate100, type=float, missing= 20 of 100, average=0.072099, stdev=1.052054, range=[-2.330490,2.511130], active=1
